Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,502","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,503","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,504","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,505","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,506","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,507","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,508","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,509","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,510","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,511","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,512","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,513","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,514","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,515","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,516","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,517","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,518","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,519","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,520","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,521","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,522","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,523","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,524","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,525","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,526","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,527","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,528","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,529","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,530","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,531","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,532","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,533","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,534","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,535","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,536","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,7E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,537","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,538","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,539","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,540","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,541","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,542","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,543","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,544","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,545","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,546","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,547","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,6E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,548","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,549","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,550","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,551","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,3.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,552","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,553","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,554","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,555","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,556","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,557","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,558","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,559","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,560","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,561","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,562","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,563","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"9,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,564","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,565","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,566","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,567","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,568","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,569","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,570","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,571","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,572","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,573","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,574","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"8,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,575","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,576","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,577","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,578","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,579","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"9,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,580","-11,830","0,000","0,000","-0,2824","0,000","0,000",9.00E-05,3.00E-05,"9,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,581","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"9,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,582","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"9,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,583","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"9,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,584","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,585","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,586","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,587","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,588","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,589","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,590","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,591","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,592","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,593","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,594","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,595","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,596","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,597","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,598","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,599","-11,830","0,000","0,000","-0,2824","0,000","0,000",1.00E-04,3.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
